0,1,2,3,4
Prodej bytu 2+1 57 m²,2100000,"Máchova, Třinec - Lyžbice","Máme pro Vás zrekonstruovaný družstevní byt na ulici Máchova v Třinci. Byt prošel celkovou rekonstrukcí, jediné co mu schází je nová kuchyňská linka. Nejlepší ale je, že tu si můžete vybrat dle svých vlastních představ.  5 BOžích vlastností bytu: - dispozice 2+kk - 57 m² - byt po rekonstrukci - dům po revitalizaci - výBOrná dostupnost  Byt se nachází ve čtvrtém patře čerstvě revitalizovaného bytového domu bez výtahu. Byt je družstevního vlastnictví, ale jedná se o družstvo, které spravuje jen jeden bytový dům o dvou vchodech a o vše je skvěle postaráno. Nachází se ve strategické lokalitě na konci slepé ulice, pouze pár kroků do centra města a zároveň se hned za domem nachází lesík.  Když Vás byt zaujme, tak se mi ozvěte a těším se na společnou prohlídku.",57
Prodej bytu 2+kk 53 m²,4182000,"Lubenská, Frýdlant nad Ostravicí - Frýdlant","Rezidence Hamerka nabízí 10 nových nízkoenergetických moderních bytů s vlastním parkováním a vlastní zahradou v centru významného podhorského městečka Frýdlantu nad Ostravicí, zvaného Brána Beskyd. Vhodné pro vlastní bydlení nebo jako investici, případně rekreační byt.   Předmětem nabídky je byt v osobním vlastnictví s dispozicí 2+KK a výměrou 53,01m2( včetně balkónu 7,61m2) a sklepní box( cca.2m2). Byt se nachází v 1.patře. K bytu je možno přikoupit parkovací místo na vlastním oploceném parkovišti. K jednotce náleží spoluvlastnický podíl na pozemku( zahradě) okolo domu( 1324m2).  Všude blízko: -	Náměstí, centrum města, kostel (50m) -	Nákupní centrum Albert (5min.), Billa, Penny Market,Drogerie TETA(10 min.), -       2x Základní škola, 2x Mateřská škola, gymnázium( 5 min.), -	Kavárny, restaurace všude hojně v okolí, -	Výchozí bod pro běh, pěší - cyklo turistiku do centra Beskyd( Lysá Hora, Ondřejník, Ostravice, Čeladná apod. apod.) -	Dálnice Frýdek-Místek 11km/14 min., Ostrava centrum 33km/26.min. -	Přímé železniční spojení s Frýdkem-Místkem a Ostravou  Rezidence Hamerka je projekt výstavby bytového domu na pozemku ležícím v bezprostřední blízkosti historického náměstí. Budoucí bytový dům tvoří obdélníková budova o třech podlažích, kde na dvou se nachází celkem 10 bytových jednotek a na střeše pak dvě samostatné s terasami. Budova je umístněná ve středu vlastního pozemku o celkové výměře 1779m2. Pozemek je přístupný z ulic Lubenská a Bezručova. K dispozici bude 12 jednotek o velikostech 1+KK, 2+KK a 3+KK. Na pozemku bude vlastní parkovací plocha se stejným množstvím parkovacích míst, posezení v zeleni. Architektura objektu respektuje okolní zástavbu formou použití tradičních materiálů v moderním pojetí zároveň. Objekt bude využívat nejmodernější technologie k dosažení maximálních energetických úspor pro její budoucí uživatelé. Investor kladl důraz na vysoké zateplení objektu a z části použití výroby vlastní energie pro objekt ve snaze maximálně snížit výdaje svým uživatelům. Ke každé jednotce bude k dispozici kóje pro uskladnění věcí mimo byt.   Plán projektu: 1.3.2024 zahájení stavby/ srpen 2024 hrubá stavba/ březen 2025 předání jednotek.  Bližší informace na vyžádání. Financování můžeme zajistit.",53
Prodej bytu 2+kk 35 m²,2390000,"El. Krásnohorské, Frýdek-Místek - Frýdek","Nabízíme Vám ke koupi celkově zrekonstruovaný byt 2+kk ve velmi žádané lokalitě, ve Frýdku, na ulici Elišky Krásnohorské.  Bytová jednotka o celkové ploše 40 m2 s příslušenstvím, se nachází v 2.NP/3 cihlového domu a prošla celkovou rekonstrukci, kde byli použity kvalitní materiály. V celém bytě nová elektřina, rozvody plynu, vody a odpadů, nové omítky, sádrokartonové podhledy, podlahy jsou nově vylité lehčeným betonem na nich položený lepený vinyl.  Skládá se z chodby, obývacího pokoje s kuchyňským koutem, kuch. linkou na míru s vestavěnými spotřebiči (horkovzdušná trouba, indukční varná deska, myčka, lednice s mrazákem), pokoje, zděné koupelny se sprchovým koutem, nové obklady a dlažba. V mezipatře se nachází komora, v suterénu sklepní kóje.  Za domem se nachází oplocená zahrada ve vlastnictví Města, kterou majitelé bytů využívají k posezení a relaxaci, po domluvě lze vybudovat parkovací stání. V blízkosti veškerá dostupnost a občanská vybavenost (škola, školka, obchody, pošta a MHD v blízkosti).  Vzhledem k tomu, že mi průkaz energetické náročnosti budovy zatím nebyl předložen, jsem dle zákona povinna uvádět třídu G.  ",35
Prodej bytu 2+kk 66 m²,4965000,"Ostravice, okres Frýdek-Místek","Rádi Vám představujeme k prodeji byt o dispozici 2+kk o výměře 66 m2, který kombinuje moderní design s pohodlím a prostorností. Tento byt vyniká rozlehlým obývacím prostorem spojeným s kuchyňským koutem, ložnicí, koupelnou a chodbou s dostatkem místa pro úložné prostory. Přilehlá prostorná terasa o výměře 13 m2 je ideálním místem pro odpočinek a společná setkání a zároveň zajišťuje i dostatek přirozeného denního světla v interiéru.  V rámci tohoto jedinečného projektu vzniknou celkem 3 moderní bytové domy. Rezidence Beskydy nabídne 72 stylových bytů o dispozicích 1+kk až 4+kk s výhledem na vrcholky okolních hor. Tento komplex je umístěn přímo u břehu řeky Ostravice a je situován v exkluzivní rekreační lokalitě v blízkosti přehrady Šance, v těsné blízkosti přírody plné lesů s výhledem na Lysou horu.  Každý byt bude mít balkon, terasu nebo zahrádku, sklepní kóji a parkovací stání. Svým konceptem rezidence uspokojí jak zájemce o rodinné či rekreační bydlení.   Doporučujeme pro více informací kontaktovat makléře.",66
Prodej bytu 2+1 55 m²,1800000,"Lidická, Třinec - Lyžbice","Uvažujete o koupi útulného bytu s výhledem na Beskydy? Nabízíme na prodej dr. byt 2+1 v oblíbené části Lyžbice, situovaný v 5. nadzemním podlaží panelového domu s moderní dispozicí a balkonem. Byt prošel kompletní rekonstrukcí v roce 2023, přičemž lze vyzdvihnout jeho moderně pojatou otevřenou kuchyň s obývacím pokojem, která slouží jako hlavní prostor pro každodenní život. Koupelnové jádro je zděné, praktické využití prostoru včetně sprchového koutu, místa pro pračku, umyvadlo a bojler. Vytápění je centrální. Z balkonu se nabízí působivý výhled na zalesněné vrcholy Beskyd. Díky orientaci na dvě světové strany je byt po celý den prosvětlen přirozeným světlem. Užitná plocha 55 m² poskytuje dostatek prostoru pro pohodlné bydlení. Výhodná poloha v centru Lyžbic zaručuje blízkost veškeré občanské vybavenosti. Nechte se okouzlit tímto bytem, který kombinuje prostorné bydlení s panoramatickými výhledy a moderní bytový standard. Přijďte se přesvědčit osobně. S financováním vám rádi pomůžeme.",55
Prodej bytu 2+1 49 m²,Info o ceně u RK,"Jablunkov, okres Frýdek-Místek","Na prodej nabízíme byt o velikosti 2+1 v osobním vlastnictví v klidné části Jablunkova. Tato nemovitost je ideální pro ty, kteří hledají pohodlné a útulné bydlení v klidné části. Byt disponuje dvěma pokoji a kuchyní, což poskytuje dostatek prostoru pro pohodlný život. Celková dispozice bytu je velmi praktická a prostorná, ideální pro jednotlivce, páry nebo malou rodinu. Byt je vybaven kuchyňskou linkou. Vytápění zajišťuje dálkové topení, to zaručuje efektivní a spolehlivé zabezpečení tepelné pohody během chladnějších měsíců. Ohřev vody je horkovodem. V okolí naleznete obchody, restaurace a školy, což usnadňuje každodenní život. Příjemné procházky a také výlety do okolní přírody jsou přímo na dosah. Pokud hledáte byt, který spojuje komfortní bydlení a klidnou lokalitu zároveň, tato nabídka je pro vás tou správnou volbou. Těším se na vás.",49
Prodej bytu 2+kk 48 m²,3490000,"Soběšovice, okres Frýdek-Místek","Exkluzivně vám nabízíme zcela výjimečnou příležitost koupi mezonetového bytu se zahradou v exkluzivním projektu rezidenčního viladomu Soběšovice 127 přímo na pláži Žermanické přehrady v bezprostřední blízkosti resortu Maják.  Byty o velikosti od 1+kk až po mezonetové 4+kk jsou citlivě zasazeny do prostředí Žermanické přehrady u Frýdku-Místku. Z každého apartmánu je bezkonkurenční panoramatický výhled na vodní plochu, který navíc rámuje pohoří Beskyd a jejich dominanta Lysá Hora.  Nízkoenergetická zděná stavba splňuje nevyšší energetické nároky, okna s trojskly, podlahové vytápění a další vychytávky. Ke každému apartmánu je vyhrazeno parkovací místo na vlastním pozemku.  Skvělé místo k životu :: Oblast Žermanické přehrady a její okolí je vyhledávanou lokalitou pro rekreační a sportovní vyžití všech generací. Obec Soběšovice disponuje veškerou základní občanskou vybaveností a pravidelnou autobusovou linkou do Havířova a Frýdku-Místku. Dojezdové vzdálenosti autem Frýdek-Místek 12 min., Ostrava 22 min., Havířov 10 min., napojení na D1 za 5 min.  Jedná se o zcela ojedinělou nabídku koupi případně investiční příležitost, v oblasti Žermanické přehrady. Více informací u manažera prodeje.",48
Prodej bytu 2+1 54 m²,2880000,"Růžový pahorek, Frýdek-Místek - Frýdek"," Naše společnost vám nabízí prodej bytu 3+1 (bezbariérový) původně 2+1 o výměře 54 m2 v osobním vlastnictví na ulici Růžový pahorek ve Frýdku-Místku. Byt se nachází ve 1 P/ 6 P. Byt je v domě po celkové revitalizaci : plastová okna, zateplení, střecha, vchod, výtah, schránky atd. Byt prošel celkovou rekonstrukcí v roce 2008 : kuchyňská linka s vestavnými spotřebiči (myčka na nádobí, lednice, mikrovlnná trouba, multifunkční trouba, indukční varná deska), podlahy (plovoucí), zděné jádro, elektřina v mědi, voda a odpady v plastu, sádrové omítky, vchodové bezpečnostní dveře. Předností bytu jsou velmi nízké náklady na bydlení ve výši 3.100,- Kč mimo elektřinu a další předností je, že jsou všechny okna na východ. Byt má bezbariérový přístup. Za domem je dětské hřiště, základní a mateřská škola. Veškerá občanská vybavenost je v dosahu cca 2 minut - obchodní síť, nemocnice, sportovní vyžití atd. U domu je bezproblémové parkování. Vzhledem k tomu, že nemáme k dispozici štítek energetické náročnosti budovy, uvádíme dle zákona třídu G. Pro více informací volejte makléři.",54
Prodej bytu 2+1 64 m²,1790000,"Beskydská, Třinec - Lyžbice","Nabízíme prodej družstevního bytu 2+1 na ulici v atraktivní lokalitě v centru Třince. Ideální příležitost nejen k investici!  Byt se nachází v 2.NP/12.NP a má celkovou výměru 64 m2. Byt je v původním stavu určený k rekonstrukci. Dům po revitalizaci (zateplený, plastová okna).  Bytové jádro původní umakartové, koupelna s vanou, WC zvlášť. Obývací pokoj je prostorný a světlý. Ložnice je menší, avšak útulná. Bezesporu výhodou jsou dva velké balkóny, umístěné v obývacím pokoji, tak i v kuchyni.  Z oken hezký výhled do okolí a do zeleně. V blízkosti je veškerá dostupnost všech služeb, přímo vedle domu se nachází škola. Parkování je veřejné. Součástí bytu je i sklepní kóje.  Měsíční náklady jsou v celkové výši 4.893 Kč – z toho zálohy na energie činí 1.172 Kč, splátka úvěru družstvu je ve výši 1.994 Kč a záloha na nájemném (zahrnující pojištění nemovitosti, daň z nemovitosti, fond oprav, správu a režii družstva)  činí 1.727 Kč.  Plyn a elektřinu si hradí každý budoucí člen družstva samostatně.  Byt je velmi zajímavý ke zhodnocení formou pronájmu. Jsme pro Vás schopni najít vhodného podnájemce, vyřídit kompletní smluvní servis a případně zajistit i kompletní obchodní správu bytu. Rádi vám předložíme finanční rozvahu, pomůžeme s rekonstrukcí, včetně veškeré potřebné dokumentace.  Vřele doporučuji prohlídku bytu. Kontaktujte mě pro více informací a nenechte si ujít tuto jedinečnou příležitost.",64
Prodej bytu 2+1 52 m²,2550000,"Janáčkova, Frýdek-Místek - Místek","Chcete mít nebe na dosah ruky? A všechno ostatní jako na dlani? HELIX REALITY Vám zprostředkuje převod družstevního podílu a práva na užívání bytu 2+1 v 11. patře v bezprostředním centru Místku, který se nabízí včetně veškerého vybavení. Do bytu je bezbariérový přístup. Díky tomu je tento příjemný byt vhodný k okamžitému bezstarostnému užívání nebo také jako investiční nemovitost, která Vám bude hned generovat pravidelný měsíční příjem. Obvyklé měsíční nájemné bez služeb a energií u takto vybaveného činí 9000-10000 Kč. Popis: předsíň se vstupem do ložnice a do obývacího pokoje - obojí s orientací na SZ, dále do kuchyně s francouzským oknem, pak také do koupelny a na samostatné WC. Všechna okna nabízejí impozantní výhled do širokého okolí. Byt má splacenou anuitu, je tudíž možný okamžitý převod do osobního vlastnictví, byt je bez dluhů. V nedávné době byt prošel celkovou důkladnou rekonstrukcí, při které se účelně využilo každé místo. Mimo jiné jsou v bytě nové omítky, rozvody elektřiny v mědi, rozvody vody, plovoucí podlahy v pokojích a keramická dlažba v ostatních prostorách, plastová okna se žaluziemi. V kuchyni najdete kuchyňskou linku včetně spotřebičů, na kterou navazuje zděná spíž. K bytu náleží sklepní kóje, k dispozici je v rámci společných prostor kolárna. K Vaší bezpečnosti přispívá kamerový systém v domě. Dům má dva výtahy. Správu provádí SBD F-M. Přednosti tohoto bytu: byt po celkové povedené rekonstrukci; možná volba převodu do osobního vlastnictví nebo ponechání v družstevním vlastnictví; prodej včetně vybavení = nastěhování bez další investice nebo připraveno k okamžitému pronájmu; nízké měsíční náklady na bydlení - ty činí jen 3323 Kč; 3 minuty od náměstí Svobody; bydlení mezi nebem a zemí. Přijďte se do tohoto útulného bytu zamilovat. Rád Vás jím provedu.",52
