id,title,price,location,detail,area,photo_URLs,scrape_date
0a9a3e56-d215-4c3d-9b5a-01ffaa97a889,Prodej garáže 21 m²,390000,"Frýdek-Místek - Místek, okres Frýdek-Místek","Nabízíme exkluzivně k prodeji zděnou garáž v lokalitě Místek, na ulici Družstevní mezi Lidlem a bytovým družstvem. Dostupnost pěší chůzí 3 minuty od zastávky MHD Na Točně - Místek Riviéra.  Jedná se o garáž v komplexu řadových garáží, vybavenou elektrickými rozvody. Majitel garáž získal v dědickém řízení a jelikož bydlí v OV, tak garáž nevyužívá. Pro bližší informace a případný termín prohlídky volejte 773772018. V případě více zájemců si majitel vyhrazuje právo prodat nejvýhodnější nabídce. Do konce března 2024 nabízíme prostřednictvím našeho partnera úrokové sazby od 4,99 % p.a. Více informací Vám sdělí náš specialista na prohlídce.",21,"['https://d18-a.sdn.cz/d_18/c_img_QQ_Ls/jZKlLR.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QP_LN/1lWY8B.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_gY_z/5cDUIp.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_gW_z/cpOULS.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QN_KG/aBnlRi.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90']",2024-03-28
71903190-97ab-4d6c-a05a-2b1f02acc3c0,Prodej garáže 18 m²,600000,"Emila Pajurka, Frýdlant nad Ostravicí - Frýdlant","Prodej garáže na ulici Emila Pajurka- naproti bytových domů. Rozměry vnitřní - š.330 x 520..Rozměr vrat - v 210 x š.240cm Elektřina 240V..Garáž je suchá. Měsíční poplatek za elektřinu, správu a daň je 65Kč. Momentálně je v garáži uložen stavební materiál. V případě zájmu bude garáž do tří dnů připravena k předání.",18,"['https://d18-a.sdn.cz/d_18/c_img_QO_K8/oUyIsV.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QJ_Ju/dhfIoB.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QJ_Ju/ThQIoC.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90']",2024-03-28
1e3040cb-4626-49a4-bd7f-56c5cc59e191,Prodej garáže 25 m²,290000,"Třinec - Staré Město, okres Frýdek-Místek","Exkluzivně Vám nabízím prodej zděné garáže v Třinci o výměře 30 m2. Garáž je zděná a ve velmi dobrém stavu, včetně své el. energie. Doporučuji prohlídku Garáž je udržovaná a volná ihned.",25,"['https://d18-a.sdn.cz/d_18/c_img_QP_LH/3d2CAgb.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QL_J9/LQUCA1f.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QK_Js/X03CBBM.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90']",2024-03-28
f8df8bba-5cfc-4f4a-86ff-654d03b5d648,Prodej garáže 19 m²,390000,"Frýdek-Místek - Místek, okres Frýdek-Místek","Nabízíme k prodeji garáž na okraji města Frýdku Místku část Místek (Bahno). Garáž momentálně bez el. proudu ale není problém připojit, Kovové vrata, betonová podlaha 19 m2. úložného prostoru jak k parkování auta nebo skladový prostor. Po dohodě s majitelem drobné úpravy střecha malování vše v ceně. Jinak klidná lokalita s dobrým příjezdem. Podrobnější informace Vám sdělí makléř.",19,"['https://d18-a.sdn.cz/d_18/c_img_gR_z/266GR.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_gU_y/ZivGI.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_gX_z/x0kF0.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90']",2024-03-28
ca206dc4-a2be-4c8f-a4ac-6afb4f759571,Prodej garáže 28 m²,339000,"Třinec - Dolní Líštná, okres Frýdek-Místek","Nabízíme na prodej zděnou řadovou garáž v Třinci, části Folvark (za hospůdkou u Emera). Garáž je napojena na elektřinu a má výměru 28m2. Nemovitost je ve výborném stavu, nová výmalba interiéru i vrat. Volná ihned. Do konce března 2024 nabízíme prostřednictvím našeho partnera úrokové sazby od 5,19 % p.a. Více informací Vám sdělí náš specialista na prohlídce.",28,"['https://d18-a.sdn.cz/d_18/c_img_QM_Kp/6fTdvH.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QR_ML/NF4dyN.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QJ_Ju/2tqdt2.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QI_Jo/dwodxU.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QO_K8/WaYdxK.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QN_KE/ntDdup.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QR_ML/gX5dyO.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90']",2024-03-28
c4a8139d-7fda-446f-a73c-ef430635f394,Prodej garáže 20 m²,490000,"Frýdek-Místek - Místek, okres Frýdek-Místek","Ve výhradním zastoupení majitele nabízíme prodej  řadové garáže ve Frýdku - Místku,  nachází se na okraji města nedaleko obchodu, za čerpací stanicí. Garáž je suchá, bez nutných investic, dvoukřídá vrata, několika zámkové zajištění. Více informací u makléře, doporučujeme prohlídku.",20,"['https://d18-a.sdn.cz/d_18/c_img_QN_Jy/4opCDhW.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QL_Jy/fVbBIog.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QI_Jb/sgfBIjU.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90']",2024-03-28
