photo_URLs,imgur_url
"['https://d18-a.sdn.cz/d_18/c_img_QM_Kp/6fTdvH.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QR_ML/NF4dyN.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QJ_Ju/2tqdt2.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QI_Jo/dwodxU.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QO_K8/WaYdxK.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QN_KE/ntDdup.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QR_ML/gX5dyO.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90']","['https://i.imgur.com/zpwJ2pw.png', 'https://i.imgur.com/RNn6wly.png', 'https://i.imgur.com/TGb2HPD.png', 'https://i.imgur.com/y7AxxSI.png', 'https://i.imgur.com/6ZB3IOs.png', 'https://i.imgur.com/wcZ9UlP.png', 'https://i.imgur.com/GmlmQQk.png']"
"['https://d18-a.sdn.cz/d_18/c_img_QP_LH/3d2CAgb.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QL_J9/LQUCA1f.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QK_Js/X03CBBM.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90']","['https://i.imgur.com/UNlQ8uo.png', 'https://i.imgur.com/SHQC6ZH.png', 'https://i.imgur.com/Orgqf73.png']"
"['https://d18-a.sdn.cz/d_18/c_img_QN_Jy/4opCDhW.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QL_Jy/fVbBIog.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QI_Jb/sgfBIjU.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90']","['https://i.imgur.com/DztQY5G.png', 'https://i.imgur.com/HD83CPU.png', 'https://i.imgur.com/knHvveA.png']"
"['https://d18-a.sdn.cz/d_18/c_img_QO_K8/oUyIsV.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QJ_Ju/dhfIoB.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QJ_Ju/ThQIoC.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90']","['https://i.imgur.com/ojVdrfH.png', 'https://i.imgur.com/j4SzkNT.png', 'https://i.imgur.com/YbLd2zX.png']"
"['https://d18-a.sdn.cz/d_18/c_img_gR_z/266GR.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_gU_y/ZivGI.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_gX_z/x0kF0.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90']","['https://i.imgur.com/JsMfocy.png', 'https://i.imgur.com/fhLS0Ch.png', 'https://i.imgur.com/dAoqa7Y.png']"
"['https://d18-a.sdn.cz/d_18/c_img_QQ_Ls/jZKlLR.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QP_LN/1lWY8B.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_gY_z/5cDUIp.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_gW_z/cpOULS.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90', 'https://d18-a.sdn.cz/d_18/c_img_QN_KG/aBnlRi.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90']","['https://i.imgur.com/gd03S5o.png', 'https://i.imgur.com/MnLIkIO.png', 'https://i.imgur.com/w5IjSiy.png', 'https://i.imgur.com/a70kERs.png', 'https://i.imgur.com/7JCb4zw.png']"
